page_kind,group_id,competition_id,season_id,game_type_id,url,raw_saved_path
clasificaciones,17145700,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145700&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145700.html
goleadores,17145700,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145700&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145700.html
calendario,17145702,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145702&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145702.html
clasificaciones,17145702,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145702&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145702.html
goleadores,17145702,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145702&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145702.html
calendario,17145752,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145752&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145752.html
clasificaciones,17145752,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145752&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145752.html
goleadores,17145752,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145752&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145752.html
calendario,19613429,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=19613429&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/19613429.html
clasificaciones,19613429,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=19613429&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/19613429.html
goleadores,19613429,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=19613429&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/19613429.html
calendario,17145704,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145704&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145704.html
clasificaciones,17145704,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145704&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145704.html
goleadores,17145704,17145693,19,2,https://www.rffm.es/competicion/goleadores?temporada=19&competicion=17145693&grupo=17145704&tipojuego=2,output/raw/rffm/benjamin/2023-2024/goleadores/17145704.html
calendario,17145706,17145693,19,2,https://www.rffm.es/competicion/calendario?temporada=19&competicion=17145693&grupo=17145706&tipojuego=2,output/raw/rffm/benjamin/2023-2024/calendario/17145706.html
clasificaciones,17145706,17145693,19,2,https://www.rffm.es/competicion/clasificaciones?temporada=19&competicion=17145693&grupo=17145706&tipojuego=2,output/raw/rffm/benjamin/2023-2024/clasificaciones/17145706.html
