player_id,season,season_id,competition_id,competition,group_id,group,team_id,team,club_name_raw,team_position,team_points,source_url,scraped_at
10007809,2023-2024,19,21412194,T. CAMPEONES PREFERENTE ALEVIN F-7 FASE FINAL,21412195,SEMIFINALES Y FINAL,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,0,0,https://www.rffm.es/fichajugador/10007809?temporada=19,2026-08-06T09:19:55.970017+00:00
10007809,2023-2024,19,21366866,TORNEO DE CAMPEONES PREFERENTE ALEVIN F-7,21394205,CUADRANGULAR 2,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,2,4,https://www.rffm.es/fichajugador/10007809?temporada=19,2026-08-06T09:19:55.970017+00:00
10007809,2023-2024,19,17145856,PREFERENTE ALEVIN F-7,17145862,GRUPO 6,334056,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,1,76,https://www.rffm.es/fichajugador/10007809?temporada=19,2026-08-06T09:19:55.970017+00:00
10007809,2023-2024,19,17145570,SEGUNDA INFANTIL,17145605,Grupo 36,2162,A.D.C. SAN FERMIN 'A',A.D.C. SAN FERMIN,13,16,https://www.rffm.es/fichajugador/10007809?temporada=19,2026-08-06T09:19:55.970017+00:00
10007809,2023-2024,19,17145570,SEGUNDA INFANTIL,17145604,Grupo 35,2163,A.D.C. SAN FERMIN 'B',A.D.C. SAN FERMIN,2,61,https://www.rffm.es/fichajugador/10007809?temporada=19,2026-08-06T09:19:55.970017+00:00
10007826,2023-2024,19,17145505,SEGUNDA CADETE,17145516,Grupo 11,9854065,RIVAS FUTBOL CLUB 'D',RIVAS FUTBOL CLUB,9,28,https://www.rffm.es/fichajugador/10007826?temporada=19,2026-08-06T09:19:56.091367+00:00
10007625,2023-2024,19,17145505,SEGUNDA CADETE,17145519,Grupo 14,17148018,CDE FOOTBALL MILES ,CDE FOOTBALL MILES,8,23,https://www.rffm.es/fichajugador/10007625?temporada=19,2026-08-06T09:19:56.185791+00:00
10007868,2023-2024,19,17145791,DIVISION DE HONOR CADETE,17145792,Grupo 1,2455,A.D. COMPLUTENSE ALCALA 'A',A.D. COMPLUTENSE ALCALA,9,36,https://www.rffm.es/fichajugador/10007868?temporada=19,2026-08-06T09:19:56.333164+00:00
10007950,2023-2024,19,17145788,DIVISION DE HONOR ALEVIN,17145789,Grupo 1,2243,UNION ZONA NORTE 'A',UNION ZONA NORTE,8,47,https://www.rffm.es/fichajugador/10007950?temporada=19,2026-08-06T09:19:56.729661+00:00
10007974,2023-2024,19,17145624,PRIMERA ALEVIN,17145633,Grupo 8,2061,CENTRO DEPORTIVO VALLECAS ,CENTRO DEPORTIVO VALLECAS,8,13,https://www.rffm.es/fichajugador/10007974?temporada=19,2026-08-06T09:19:57.028303+00:00
