player_id,season,season_id,called_up,starter_appearances,substitute_appearances,matches_played,goals_total,goals_per_match,yellow_cards,red_cards,second_yellow_cards,is_goalkeeper,jersey_number,source_url,scraped_at
10213853,2022-2023,18,25,25,0,25,12,0.5,0,0,0,False,12,https://www.rffm.es/fichajugador/10213853?temporada=18,2026-08-07T08:32:47.643501+00:00
10213885,2022-2023,18,26,17,9,26,2,0.1,0,0,0,False,4,https://www.rffm.es/fichajugador/10213885?temporada=18,2026-08-07T08:32:47.652095+00:00
1021470,2022-2023,18,26,5,21,24,23,0.9,7,1,2,False,11,https://www.rffm.es/fichajugador/1021470?temporada=18,2026-08-07T08:32:48.048355+00:00
10214815,2022-2023,18,25,25,0,25,2,0.1,2,0,0,False,9,https://www.rffm.es/fichajugador/10214815?temporada=18,2026-08-07T08:32:48.063361+00:00
102148,2022-2023,18,21,8,13,19,0,0.0,5,0,0,True,24,https://www.rffm.es/fichajugador/102148?temporada=18,2026-08-07T08:32:48.210695+00:00
10216171,2022-2023,18,38,29,9,38,6,0.2,1,0,0,False,15,https://www.rffm.es/fichajugador/10216171?temporada=18,2026-08-07T08:32:48.279542+00:00
1021447,2022-2023,18,21,17,4,21,4,0.2,3,0,0,False,14,https://www.rffm.es/fichajugador/1021447?temporada=18,2026-08-07T08:32:48.373351+00:00
10216352,2022-2023,18,29,20,9,29,3,0.1,2,0,0,False,15,https://www.rffm.es/fichajugador/10216352?temporada=18,2026-08-07T08:32:48.836669+00:00
10216440,2022-2023,18,18,17,1,18,6,0.3,2,0,0,True,24,https://www.rffm.es/fichajugador/10216440?temporada=18,2026-08-07T08:32:48.873685+00:00
10216369,2022-2023,18,29,8,21,9,0,0.0,0,0,0,True,1,https://www.rffm.es/fichajugador/10216369?temporada=18,2026-08-07T08:32:49.039724+00:00
10217468,2022-2023,18,30,24,6,28,0,0.0,0,0,0,True,1,https://www.rffm.es/fichajugador/10217468?temporada=18,2026-08-07T08:32:49.088719+00:00
10216449,2022-2023,18,18,10,8,18,3,0.2,3,0,0,False,7,https://www.rffm.es/fichajugador/10216449?temporada=18,2026-08-07T08:32:49.270955+00:00
1021668,2022-2023,18,21,8,13,8,0,0.0,1,1,0,True,13,https://www.rffm.es/fichajugador/1021668?temporada=18,2026-08-07T08:32:49.360895+00:00
1021654,2022-2023,18,28,21,7,27,2,0.1,1,0,0,False,4,https://www.rffm.es/fichajugador/1021654?temporada=18,2026-08-07T08:32:49.438790+00:00
10217246,2022-2023,18,24,24,0,24,3,0.1,0,0,0,False,13,https://www.rffm.es/fichajugador/10217246?temporada=18,2026-08-07T08:32:49.626262+00:00
1021769,2022-2023,18,15,5,10,14,6,0.4,1,0,0,False,19,https://www.rffm.es/fichajugador/1021769?temporada=18,2026-08-07T08:32:50.080892+00:00
10218180,2022-2023,18,4,4,0,4,0,0.0,0,0,0,False,26,https://www.rffm.es/fichajugador/10218180?temporada=18,2026-08-07T08:32:50.089846+00:00
10217933,2022-2023,18,24,24,0,24,20,0.8,0,0,0,True,11,https://www.rffm.es/fichajugador/10217933?temporada=18,2026-08-07T08:32:50.148140+00:00
